source_id,organization,url,category,authority_level,mcgill_specific,scope_status,extraction_method,mentioned_in,rationale,execution_status,evidence_location
mcgill-iss,McGill University,https://www.mcgill.ca/internationalstudents/,immigration,official_university,true,approved,structured_html,product_definition,Primary international-student service hub.,live_extraction_succeeded,D:\Current Desktop\MMA Material\Summer 2026\BUSA-649-Community project\Shared-Folder\McGill-Care-Compass-Newcomer-Service-Navigator-Project-Documents\Data\Datasets\navigator_source_manifest.csv
mcgill-iss-health,McGill University,https://www.mcgill.ca/internationalstudents/health,health_insurance,official_university,true,approved,structured_html,product_definition,International Health Insurance and access guidance.,live_extraction_succeeded,D:\Current Desktop\MMA Material\Summer 2026\BUSA-649-Community project\Shared-Folder\McGill-Care-Compass-Newcomer-Service-Navigator-Project-Documents\Data\Datasets\navigator_source_manifest.csv
mcgill-iss-access-care,McGill University,https://www.mcgill.ca/internationalstudents/health/access-healthcare,healthcare,official_university,true,approved,structured_html,product_definition,Official healthcare access routes.,live_extraction_succeeded,D:\Current Desktop\MMA Material\Summer 2026\BUSA-649-Community project\Shared-Folder\McGill-Care-Compass-Newcomer-Service-Navigator-Project-Documents\Data\Datasets\navigator_source_manifest.csv
mcgill-wellness,McGill University,https://www.mcgill.ca/wellness-hub/,wellness,official_university,true,approved,structured_html,product_definition,Primary student wellness service hub.,live_extraction_succeeded,D:\Current Desktop\MMA Material\Summer 2026\BUSA-649-Community project\Shared-Folder\McGill-Care-Compass-Newcomer-Service-Navigator-Project-Documents\Data\Datasets\navigator_source_manifest.csv
mcgill-community-health,McGill University,https://www.mcgill.ca/wellness-hub/get-support/find-community-resources,wellness,official_university,true,approved,structured_html,product_definition,Community health and wellness referrals.,live_extraction_succeeded,D:\Current Desktop\MMA Material\Summer 2026\BUSA-649-Community project\Shared-Folder\McGill-Care-Compass-Newcomer-Service-Navigator-Project-Documents\Data\Datasets\navigator_source_manifest.csv
mcgill-studentaid,McGill University,https://www.mcgill.ca/studentaid/,financial_aid,official_university,true,approved,structured_html,product_definition,Primary student financial-aid hub.,live_extraction_succeeded,D:\Current Desktop\MMA Material\Summer 2026\BUSA-649-Community project\Shared-Folder\McGill-Care-Compass-Newcomer-Service-Navigator-Project-Documents\Data\Datasets\navigator_source_manifest.csv
mcgill-international-funding,McGill University,https://www.mcgill.ca/studentaid/scholarships-aid/international-students,financial_aid,official_university,true,approved,structured_html,product_definition,International-student funding information.,live_extraction_succeeded,D:\Current Desktop\MMA Material\Summer 2026\BUSA-649-Community project\Shared-Folder\McGill-Care-Compass-Newcomer-Service-Navigator-Project-Documents\Data\Datasets\navigator_source_manifest.csv
mcgill-servicepoint,McGill University,https://www.mcgill.ca/servicepoint/,administration,official_university,true,approved,structured_html,product_definition,Student administrative service hub.,live_extraction_succeeded,D:\Current Desktop\MMA Material\Summer 2026\BUSA-649-Community project\Shared-Folder\McGill-Care-Compass-Newcomer-Service-Navigator-Project-Documents\Data\Datasets\navigator_source_manifest.csv
mcgill-caps,McGill University,https://www.mcgill.ca/caps/,employment,official_university,true,approved,structured_html,product_definition,Career Planning Service.,live_extraction_succeeded,D:\Current Desktop\MMA Material\Summer 2026\BUSA-649-Community project\Shared-Folder\McGill-Care-Compass-Newcomer-Service-Navigator-Project-Documents\Data\Datasets\navigator_source_manifest.csv
mcgill-iss-work,McGill University,https://www.mcgill.ca/internationalstudents/work,employment,official_university,true,approved,structured_html,product_definition,International-student work and permit guidance.,live_extraction_succeeded,D:\Current Desktop\MMA Material\Summer 2026\BUSA-649-Community project\Shared-Folder\McGill-Care-Compass-Newcomer-Service-Navigator-Project-Documents\Data\Datasets\navigator_source_manifest.csv
mcgill-cle,McGill University,https://www.mcgill.ca/cle/,community,official_university,true,approved,structured_html,product_definition,Campus Life and Engagement.,live_extraction_succeeded,D:\Current Desktop\MMA Material\Summer 2026\BUSA-649-Community project\Shared-Folder\McGill-Care-Compass-Newcomer-Service-Navigator-Project-Documents\Data\Datasets\navigator_source_manifest.csv
cra-students,Canada Revenue Agency,https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/students.html,tax,official_federal,false,approved,structured_html,product_definition,Official student tax guidance.,live_extraction_succeeded,D:\Current Desktop\MMA Material\Summer 2026\BUSA-649-Community project\Shared-Folder\McGill-Care-Compass-Newcomer-Service-Navigator-Project-Documents\Data\Datasets\navigator_source_manifest.csv
cra-international-students,Canada Revenue Agency,https://www.canada.ca/en/revenue-agency/services/tax/international-non-residents/individuals-leaving-entering-canada-non-residents/international-students-studying-canada.html,tax,official_federal,false,approved,structured_html,product_definition,Official international-student tax guidance.,live_extraction_succeeded,D:\Current Desktop\MMA Material\Summer 2026\BUSA-649-Community project\Shared-Folder\McGill-Care-Compass-Newcomer-Service-Navigator-Project-Documents\Data\Datasets\navigator_source_manifest.csv
quebec-partners,Gouvernement du Québec,https://www.quebec.ca/en/immigration/partners,settlement,official_provincial,false,approved,existing_specialized_scraper,both_documents,Public integration-partner directory.,existing_local_evidence,D:\Current Desktop\MMA Material\Summer 2026\BUSA-649-Community project\Shared-Folder\McGill-Care-Compass-Newcomer-Service-Navigator-Project-Documents\Data\Datasets\quebec_immigration_partners.csv
quebec-settle,Gouvernement du Québec,https://www.quebec.ca/en/immigration/settle-and-integrate-in-quebec,settlement,official_provincial,false,approved,existing_specialized_scraper,both_documents,Official settlement and integration hub.,existing_local_evidence,D:\Current Desktop\MMA Material\Summer 2026\BUSA-649-Community project\Shared-Folder\McGill-Care-Compass-Newcomer-Service-Navigator-Project-Documents\Data\Datasets\quebec_guidance_catalogue.csv
quebec-accompagnement,Gouvernement du Québec,https://www.quebec.ca/en/immigration/integration-service-for-immigrants,settlement,official_provincial,false,approved,existing_specialized_scraper,both_documents,Personalized newcomer integration service.,existing_local_evidence,D:\Current Desktop\MMA Material\Summer 2026\BUSA-649-Community project\Shared-Folder\McGill-Care-Compass-Newcomer-Service-Navigator-Project-Documents\Data\Datasets\quebec_guidance_catalogue.csv
quebec-family-doctor,Gouvernement du Québec,https://www.quebec.ca/en/health/finding-a-resource/registering-with-a-family-doctor,healthcare,official_provincial,false,approved,structured_html,ideas_document,Official family-doctor registration route.,live_extraction_succeeded,D:\Current Desktop\MMA Material\Summer 2026\BUSA-649-Community project\Shared-Folder\McGill-Care-Compass-Newcomer-Service-Navigator-Project-Documents\Data\Datasets\navigator_source_manifest.csv
quebec-asylum,Gouvernement du Québec,https://www.quebec.ca/en/immigration/refugees-asylum-seekers/asylum-seekers,healthcare,official_provincial,false,approved,existing_specialized_scraper,both_documents,Official services for asylum seekers.,existing_local_evidence,D:\Current Desktop\MMA Material\Summer 2026\BUSA-649-Community project\Shared-Folder\McGill-Care-Compass-Newcomer-Service-Navigator-Project-Documents\Data\Datasets\quebec_guidance_catalogue.csv
statcan-odhf,Statistics Canada,https://www.statcan.gc.ca/en/lode/databases/odhf,healthcare,official_federal,false,approved,existing_specialized_scraper,both_documents,Healthcare-facility location dataset.,existing_local_evidence,D:\Current Desktop\MMA Material\Summer 2026\BUSA-649-Community project\Shared-Folder\McGill-Care-Compass-Newcomer-Service-Navigator-Project-Documents\Data\Datasets\montreal_healthcare_facilities.csv
montreal-boundaries,Ville de Montréal,https://donnees.montreal.ca/dataset?q=arrondissement,geography,official_municipal,false,approved,existing_download,both_documents,Borough boundaries for mapping.,existing_local_evidence,D:\Current Desktop\MMA Material\Summer 2026\BUSA-649-Community project\Shared-Folder\McGill-Care-Compass-Newcomer-Service-Navigator-Project-Documents\Data\Source-Inputs\montreal_boundaries.geojson
ircc-settlement-outcomes,"Immigration, Refugees and Citizenship Canada",https://www.canada.ca/en/immigration-refugees-citizenship/corporate/settlement-resettlement-service-provider-information/2023-settlement-outcomes-report/2023-settlement-outcomes-report-part1.html,community_evidence,official_federal,false,approved,metadata_only,ideas_document,Evidence for the community navigation problem.,metadata_only_by_design,https://www.canada.ca/en/immigration-refugees-citizenship/corporate/settlement-resettlement-service-provider-information/2023-settlement-outcomes-report/2023-settlement-outcomes-report-part1.html
mcgill-student-services,McGill University,https://www.mcgill.ca/studentservices/,service_directory,official_university,true,candidate,discovery_review,discovered,Potential umbrella directory for additional student services.,candidate_not_executed,
mcgill-housing,McGill University,https://www.mcgill.ca/students/housing/,housing,official_university,true,candidate,discovery_review,discovered,Potential housing and off-campus navigation records.,candidate_not_executed,
mcgill-dean-students,McGill University,https://www.mcgill.ca/deanofstudents/,student_support,official_university,true,candidate,discovery_review,discovered,Potential case-management and student-support referrals.,candidate_not_executed,
mcgill-accessibility,McGill University,https://www.mcgill.ca/access-achieve/,accessibility,official_university,true,candidate,discovery_review,discovered,Potential accessibility support records.,candidate_not_executed,
mcgill-morsl,McGill University,https://www.mcgill.ca/morsl/,community,official_university,true,candidate,discovery_review,discovered,Potential spiritual-life and community support.,candidate_not_executed,
mcgill-first-peoples,McGill University,https://www.mcgill.ca/fph/,community,official_university,true,candidate,discovery_review,discovered,Potential Indigenous student support.,candidate_not_executed,
ramq-health-insurance,Régie de l'assurance maladie du Québec,https://www.ramq.gouv.qc.ca/en/citizens/health-insurance,health_insurance,official_provincial,false,candidate,discovery_review,discovered,Potential direct coverage guidance; requires careful eligibility review.,candidate_not_executed,
ircc-study,"Immigration, Refugees and Citizenship Canada",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada.html,immigration,official_federal,false,candidate,discovery_review,discovered,Potential federal study-permit guidance.,candidate_not_executed,
revenu-quebec-students,Revenu Québec,https://www.revenuquebec.ca/en/citizens/your-situation/tax-benefits-for-students/,tax,official_provincial,false,candidate,discovery_review,discovered,Potential Quebec-specific student tax guidance.,candidate_not_executed,
