source_id,url,http_status,page_title,source_last_updated,retrieved_at,content_hash,records_extracted,error
mcgill-iss,https://www.mcgill.ca/internationalstudents/,200,International Student Services,,2026-06-12T18:01:59+00:00,3f0ea3e94029bbe33fafdbdd836575df7494012192ae4142ea1a783c5c6a9476,30,
mcgill-iss-health,https://www.mcgill.ca/internationalstudents/health,200,Compulsory International Health Insurance (IHI) | International Student Services - McGill University,,2026-06-12T18:02:00+00:00,f2c7f743343acbb4e0c70b5d77dfac2f5c6bb38c22877b91cf17b5c12cfdd70d,30,
mcgill-iss-access-care,https://www.mcgill.ca/internationalstudents/health/access-healthcare,200,Access Health & Wellness Care,,2026-06-12T18:02:00+00:00,e77111984e5e74ed4fdef3642a6459fb83945ba48055b54eed3a06fe3d98a247,30,
mcgill-wellness,https://www.mcgill.ca/wellness-hub/,200,Student Wellness Hub - McGill University,,2026-06-12T18:02:00+00:00,243868fe0e515ae3acd886a741f677b1a110533960aa7429872e8df90c642e6b,30,
mcgill-community-health,https://www.mcgill.ca/wellness-hub/get-support/find-community-resources,200,Community Resources | Student Wellness Hub - McGill University,,2026-06-12T18:02:01+00:00,c4553770f1e02ed835e494eebd54d202ebbcd0d195f314bc91d405fe665894d2,30,
mcgill-studentaid,https://www.mcgill.ca/studentaid/,200,Home page,,2026-06-12T18:02:01+00:00,ae13d95a4fe3e495d680b2aa3e98c18ebc0e094024f980a3f30d576b69367c49,30,
mcgill-international-funding,https://www.mcgill.ca/studentaid/scholarships-aid/international-students,200,International student funding,,2026-06-12T18:02:01+00:00,eab4ce53c005f585d7ff72330bb1853706b5d79ef9ea4872ac163cebbce4ea64,30,
mcgill-servicepoint,https://www.mcgill.ca/servicepoint/,200,Service Point - McGill University,,2026-06-12T18:02:01+00:00,9092b69ba6db6b4d89bffb1717b72083caee5bbc014fd639402354971e831b09,30,
mcgill-caps,https://www.mcgill.ca/caps/,200,Career Planning Service (CaPS),,2026-06-12T18:02:01+00:00,e94d9dc2f4b504a8ffc218ac665d0b0c1e852c3b0914e50e42f4a2c69ce82d49,30,
mcgill-iss-work,https://www.mcgill.ca/internationalstudents/work,200,Work | International Student Services - McGill University,,2026-06-12T18:02:01+00:00,bc349f4bd64352b2afdff60491e43114e4466b5cc8b76be0208204a1ae1e6f6d,30,
mcgill-cle,https://www.mcgill.ca/cle/,200,Welcome to Campus Life & Engagement!,,2026-06-12T18:02:02+00:00,7bf8baf601ca20b6399207864a486e408009645e646779e25ce7be00e479cd8d,23,
cra-students,https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/students.html,200,Students,,2026-06-12T18:02:02+00:00,7f5ee8daf7eb3a280967a75925228a52b0ab0633c1f7514d2dce3324d05318a8,22,
cra-international-students,https://www.canada.ca/en/revenue-agency/services/tax/international-non-residents/individuals-leaving-entering-canada-non-residents/international-students-studying-canada.html,200,Taxes for International students studying in Canada,,2026-06-12T18:02:03+00:00,43c20f4d30b73ff8a94b64ca6765c3ab38b0f6e4e67678bcb091c3862d2ff130,19,
quebec-family-doctor,https://www.quebec.ca/en/health/finding-a-resource/registering-with-a-family-doctor,200,Registering with a family doctor or a specialized nurse practitioner in primary care,"Last update: April 15, 2024",2026-06-12T18:02:03+00:00,99a62f6dde3b7962719abf57be5acf23381ca96dfb2d3920106a6eea6c8621ac,12,
